Jun 17	d	0
Jun 17	s	1870
Jun 18	d	197
Jun 18	s	-815
Jun 19	d	820
Jun 19	s	1642
Jun 20	d	12780
Jun 20	s	2475
Jun 21	d	1656
Jun 21	s	52462
Jun 22	d	7734
Jun 22	s	54212
Jun 23	d	7146
Jun 23	s	209
Jun 24	d	4833
Jun 24	s	7348
Jun 25	d	5174
Jun 25	s	-2286
Jun 26	d	10395
Jun 26	s	19734
Jun 27	d	8661
Jun 27	s	10627
Jun 28	d	8200
Jun 28	s	5334
Jun 29	d	7255
Jun 29	s	479
Jun 30	d	27
Jun 30	s	479
Jul 01	d	33
Jul 01	s	479
Jul 02	d	339
Jul 02	s	690
Jul 03	d	810
Jul 03	s	201
Jul 04	d	810
Jul 04	s	193
Aug 05	d	21
Aug 05	s	193
Aug 07	d	146
Aug 07	s	-4
Aug 09	d	-6
Aug 09	s	-4
Aug 10	d	-18
Aug 10	s	-4
Aug 11	d	0
Aug 11	s	-4
Aug 12	d	-6
Aug 12	s	-4
Aug 13	d	-76
Aug 13	s	-4
Aug 14	d	-76
Aug 14	s	0
Aug 15	d	-76
Aug 15	s	62
Aug 16	d	49
Aug 16	s	233
Aug 17	d	49
Aug 17	s	-7
Aug 20	d	0
Aug 20	s	-7
Aug 21	d	169
Aug 21	s	-6
Aug 23	d	169
Aug 23	s	0
Aug 27	d	573
Aug 27	s	1153
Aug 28	d	573
Aug 28	s	882
Aug 29	s	0
