Jun 17	s	34
Jun 17	s	78
Jun 17	s	859
Jun 17	s	28
Jun 17	s	707
Jun 17	s	78
Jun 17	s	79
Jun 17	s	7
Jun 18	s	-34
Jun 18	s	-100
Jun 18	s	-37
Jun 18	s	-81
Jun 18	s	-59
Jun 18	s	-708
Jun 18	d	0
Jun 18	s	30
Jun 18	s	34
Jun 18	s	14
Jun 18	s	50
Jun 18	s	1
Jun 18	s	75
Jun 18	d	17
Jun 18	d	4
Jun 18	d	8
Jun 18	d	34
Jun 18	d	1
Jun 18	d	133
Jun 19	d	2
Jun 19	d	-25
Jun 19	d	0
Jun 19	s	9
Jun 19	s	0
Jun 19	d	5
Jun 19	d	8
Jun 19	d	759
Jun 19	s	10
Jun 19	d	-6
Jun 19	d	35
Jun 19	s	1
Jun 19	s	33
Jun 19	d	8
Jun 19	d	-37
Jun 19	d	0
Jun 19	d	-1
Jun 19	d	-91
Jun 19	d	25
Jun 19	d	71
Jun 19	d	-53
Jun 19	d	-2
Jun 19	d	-100
Jun 19	d	-50
Jun 19	d	-2
Jun 19	s	-34
Jun 19	s	-9
Jun 19	d	0
Jun 19	s	-269
Jun 19	s	-48
Jun 19	d	-1
Jun 19	s	125
Jun 19	s	-2
Jun 19	s	-10
Jun 19	d	0
Jun 19	s	0
Jun 19	d	-416
Jun 19	d	-22
Jun 19	s	-30
Jun 19	d	0
Jun 19	s	19
Jun 19	d	12
Jun 19	d	34
Jun 19	s	0
Jun 19	d	160
Jun 19	d	8
Jun 19	s	50
Jun 19	s	7
Jun 19	d	0
Jun 19	d	7
Jun 19	d	4
Jun 19	d	33
Jun 19	d	-2
Jun 19	d	0
Jun 19	d	4
Jun 19	s	68
Jun 19	d	0
Jun 19	d	3
Jun 19	s	-39
Jun 19	d	0
Jun 19	s	0
Jun 19	d	0
Jun 19	d	0
Jun 19	d	-53
Jun 19	d	12
Jun 19	d	-2
Jun 19	s	0
Jun 19	d	-17
Jun 19	s	-102
Jun 19	d	-3
Jun 19	s	-18
Jun 19	s	0
Jun 19	d	-5
Jun 19	d	-33
Jun 19	d	1
Jun 19	d	0
Jun 19	d	0
Jun 19	d	-8
Jun 19	d	40
Jun 19	s	172
Jun 19	s	-1
Jun 19	s	-1
Jun 19	s	7
Jun 19	d	6
Jun 19	d	-15
Jun 19	s	-18
Jun 19	s	0
Jun 19	d	2
Jun 19	s	15
Jun 19	s	2
Jun 19	d	11
Jun 19	d	330
Jun 19	d	0
Jun 19	d	-32
Jun 19	d	4
Jun 19	d	-53
Jun 19	d	30
Jun 19	d	0
Jun 19	d	31
Jun 19	d	54
Jun 19	s	55
